occurredAt,amount,category,vendor,method,note,mileageMiles,vehicleRate
2024-01-01,25.99,shipping_supplies,Amazon,credit_card,Bubble mailers and tape,0,
2024-01-02,15.50,postage,USPS,cash,Priority Mail labels,0,
2024-01-03,8.75,shipping_supplies,Staples,debit_card,Shipping boxes,0,
2024-01-04,12.00,gas,Shell,credit_card,Driving to thrift stores,45,0.655
2024-01-05,29.99,software,Canva,credit_card,Monthly subscription,0,
2024-01-06,18.50,postage,USPS,cash,Ground Advantage labels,0,
2024-01-07,5.25,shipping_supplies,Dollar Tree,cash,Tissue paper and bags,0,
2024-01-08,22.00,gas,Exxon,credit_card,Driving to post office,32,0.655
2024-01-09,45.00,repairs,Local Tailor,cash,Alterations on vintage dress,0,
2024-01-10,11.99,shipping_supplies,Amazon,credit_card,Packing tape,0,
2024-01-11,16.75,postage,USPS,cash,Priority Mail Express,0,
2024-01-12,8.50,gas,BP,credit_card,Driving to estate sale,28,0.655
2024-01-13,35.00,authentication,PSA,cash,Card authentication service,0,
2024-01-14,13.25,shipping_supplies,Office Depot,debit_card,Bubble wrap,0,
2024-01-15,19.99,software,Lightroom,credit_card,Photo editing subscription,0,
