sku,title,brand,category,acquiredAt,acquiredFrom,purchasePrice,notes,status
NK-AM90-001,Nike Air Max 90,Nike,Shoes,2024-01-01,Thrift Store,25.00,Size 10, sold
LV-501-32,Levi's 501 Jeans,Levi's,Clothing,2024-01-02,Estate Sale,15.00,Size 32x32, sold
APL-IP12-128,Apple iPhone 12,Apple,Electronics,2024-01-03,Facebook Marketplace,300.00,128GB, sold
VC-CP-001,Vintage Coach Purse,Coach,Accessories,2024-01-04,Thrift Store,45.00,Leather, sold
HC-CB-001,Handmade Ceramic Bowl,Unknown,Home Decor,2024-01-05,Artisan Market,12.00,Handmade, sold
Y2K-PB-001,Y2K Platform Boots,Unknown,Shoes,2024-01-06,Thrift Store,20.00,Size 8, sold
DT-TS-001,Designer T-Shirt,Unknown,Clothing,2024-01-07,Consignment,35.00,Size M, sold
SD-DR-001,Summer Dress,Unknown,Clothing,2024-01-08,Thrift Store,8.00,Size S, sold
AD-SS-001,Adidas Stan Smith,Adidas,Shoes,2024-01-09,Thrift Store,18.00,Size 9, sold
CH-PF-001,Chanel Perfume,Chanel,Beauty,2024-01-10,Estate Sale,120.00,50ml, sold
NK-AM90-002,Nike Air Max 90,Nike,Shoes,2024-01-11,Thrift Store,25.00,Size 11, active
LV-501-34,Levi's 501 Jeans,Levi's,Clothing,2024-01-12,Estate Sale,15.00,Size 34x32, active
APL-IP12-256,Apple iPhone 12,Apple,Electronics,2024-01-13,Facebook Marketplace,350.00,256GB, active
VC-CP-002,Vintage Coach Purse,Coach,Accessories,2024-01-14,Thrift Store,50.00,Canvas, active
HC-CB-002,Handmade Ceramic Bowl,Unknown,Home Decor,2024-01-15,Artisan Market,15.00,Handmade, active
